rank,objective_value,sharpe_ratio,total_return,max_drawdown,calmar_ratio,num_trades,win_rate,profit_factor,is_valid,regime_mult_Bull Trending,regime_mult_Bear Trending,regime_mult_Mean Reverting,regime_mult_High Volatility,regime_mult_Low Volatility,regime_mult_Breakout,regime_mult_Unknown,stop_loss_pct,take_profit_pct,max_position_size,vol_threshold_high_pct,vol_threshold_low_pct
1,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.5,1.0,0.3,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
2,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.5,1.0,0.3,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
3,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.5,1.0,0.5,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
4,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.5,1.0,0.5,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
5,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.5,1.0,0.7,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
6,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.5,1.0,0.7,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
7,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.5,1.2,0.3,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
8,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.5,1.2,0.3,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
9,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.5,1.2,0.5,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
10,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.5,1.2,0.5,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
11,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.5,1.2,0.7,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
12,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.5,1.2,0.7,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
13,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.5,1.4,0.3,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
14,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.5,1.4,0.3,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
15,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.5,1.4,0.5,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
16,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.5,1.4,0.5,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
17,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.5,1.4,0.7,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
18,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.5,1.4,0.7,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
19,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.7,1.0,0.3,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
20,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.7,1.0,0.3,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
21,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.7,1.0,0.5,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
22,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.7,1.0,0.5,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
23,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.7,1.0,0.7,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
24,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.7,1.0,0.7,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
25,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.7,1.2,0.3,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
26,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.7,1.2,0.3,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
27,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.7,1.2,0.5,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
28,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.7,1.2,0.5,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
29,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.7,1.2,0.7,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
30,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.7,1.2,0.7,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
31,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.7,1.4,0.3,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
32,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.7,1.4,0.3,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
33,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.7,1.4,0.5,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
34,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.7,1.4,0.5,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
35,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.7,1.4,0.7,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
36,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.7,1.4,0.7,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
37,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.8999999999999999,1.0,0.3,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
38,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.8999999999999999,1.0,0.3,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
39,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.8999999999999999,1.0,0.5,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
40,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.8999999999999999,1.0,0.5,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
41,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.8999999999999999,1.0,0.7,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
42,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.8999999999999999,1.0,0.7,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
43,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.8999999999999999,1.2,0.3,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
44,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.8999999999999999,1.2,0.3,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
45,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.8999999999999999,1.2,0.5,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
46,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.8999999999999999,1.2,0.5,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
47,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.8999999999999999,1.2,0.7,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
48,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.8999999999999999,1.2,0.7,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
49,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.8999999999999999,1.4,0.3,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
50,-1.2064584431539447,-1.2064584431539447,0.017026014419829982,-0.010584606428517569,0.800887293417582,19,0.3684210526315789,2.2317021957591456,True,1.0,0.8999999999999999,1.4,0.3,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
